TotalEmployed,Women,AfricanAmerican,Asian,HispanicLatino,none,label1,label2,label3,label4,label5
466,84.8,12.3,6.1,15.8,,teller,,,,
52,84.8,15.3,5.7,10,,assistant,,,,
387,84.9,8,1.3,3.7,,teacher,,,,
871,85.4,21.8,6.7,17.4,,aide,,,,
346,87.7,11.6,2.2,10.3,,paralegal,assistant,,,
1889,88.7,34.5,4.3,13.1,,aide,,,,
263,88.7,6.2,3,11.6,,hosts,hostesses,restaurant,lounge,coffee
831,88.8,16.9,4.2,15.3,,assistant,,,,
3212,88.8,25.8,4.2,13.6,,healthcare,support,occupations,,
1434,89.8,18.1,3.7,40.5,,maids,housekeeping,cleaners,,
100,90,20.3,3.7,7.1,,nutritionist,,,,
158,90.1,11.8,4.1,10.8,,clerk,,,,
773,90.6,11.3,6.5,11,,hairdresser,,,,
516,90.9,13.5,3.6,12.6,,clerk,operator,,,
107,91.1,15.5,4.1,11.7,,clerk,,,,
1434,91.5,6.9,4.4,8,,clerk,,,,
1020,91.7,13.9,2.8,15,,assistant,teacher,,,
2778,91.7,10,7.8,4.7,,nurse,,,,
149,92.9,17.3,3.6,13.1,,word,processors,typists,,
566,93.3,22.1,3.6,7.1,,nurse,,,,
1413,93.6,9.8,3.8,15.2,,receptionist,clerk,,,
98,95,13.9,4,9.9,,technician,,,,
1314,95.6,17.4,2.7,20,,worker,,,,
3296,96.1,8.1,2.3,9.6,,assistant,,,,
263,96.3,6.9,2,17.3,,assistant,,,,
685,97.6,11.7,3.5,9.8,,teacher,,,,
143,97.7,4.1,2,5.3,,hygienist,,,,
133,98.1,2.3,4.8,6.2,,pathologist,,,,
