label,prestige_mean,prestige_sd,total_employed
firefighter,33.0,0.0,14414906.4018
announcers,33.0,0.0,2800076.0436000004
database,32.99999999999999,7.105427357601002e-15,2638816.6068
computer,32.99999999999999,7.105427357601002e-15,11698954.7614
programmer,32.75911872309956,0.8152423205036274,28509589.7185
machinist,32.0,0.0,28413246.395900004
chiropractors,32.0,0.0,2738754.2428
dispatchers,31.0,0.0,13227903.6208
morticians,31.0,0.0,2605217.205
bailiff,30.0,0.0,18161782.3905
opticians,30.0,0.0,3269909.8517
riggers,30.0,3.552713678800501e-15,296415.418
mechanic,29.276427583228397,2.8782397234651853,79526844.41710001
investigator,29.201668266439142,3.4289446836996773,5894716.245100001
actors,29.000000000000004,3.552713678800501e-15,1320976.6067
brickmason,29.0,0.0,12019959.3497
installer,28.34703341884279,5.3307846864065525,57240303.5873
technician,28.157485420720203,3.589357385904239,200984072.5043
teacher,28.151320443015948,6.198581746292731,356418921.3966
surveyors,28.000000000000007,7.105427357601002e-15,1401333.4863999998
glaziers,28.0,0.0,2607319.9982
baker,28.0,3.552713678800501e-15,10068364.5965
repairer,27.96942439664513,1.4792507921841045,21474879.6313
mason,27.64775114634215,0.9359063762453624,7358576.605099999
writer,27.541820973485045,4.305710874960315,11350324.0765
education,27.0,0.0,39232292.1964
photographers,27.0,3.552713678800501e-15,8793660.512200002
teller,26.70572754060156,0.9557215701445664,38251499.2596
finisher,26.000000000000004,3.552713678800501e-15,1584844.5048
cargo,26.000000000000004,3.552713678800501e-15,543551.1682
buyers,26.000000000000004,3.552713678800501e-15,897695.3448999999
upholsterers,26.0,0.0,3600708.5448000003
podiatrists,26.0,0.0,480288.417
pathologist,26.0,0.0,5214820.899
audiologists,26.0,3.552713678800501e-15,359112.9016
operator,25.67107962698743,5.344999854509276,187841816.0858
driver,25.38870854043295,1.946492789057212,236526835.2918
interviewers,25.000000000000004,3.552713678800501e-15,9064805.6738
weighers,25.0,0.0,3909406.7106
paralegal,25.0,0.0,15077710.0658
receptionist,25.0,0.0,69573873.9912
eligibility,25.0,0.0,3904656.0056
bartender,25.0,3.552713678800501e-15,22034145.1653
meter,25.0,3.552713678800501e-15,2295100.8897
customer,25.0,3.552713678800501e-15,82064795.28150001
hygienist,25.0,3.552713678800501e-15,6557075.056600001
proofreaders,24.999999999999996,7.105427357601002e-15,2222026.0727000004
clerk,24.81279017320579,2.6280196166111223,438784519.59950006
practitioner,24.643501742632683,1.9941747007611936,21033416.5591
therapist,24.254372041003798,4.415958036740275,29665025.7254
carpenter,24.100972860828964,0.4378929127468803,88621042.4379
sales,24.000000000000004,3.552713678800501e-15,103357378.5094
fundraisers,24.0,0.0,1423807.175
clergy,24.0,0.0,20636943.0655
salesperson,24.0,0.0,204461407.3406
telemarketers,24.0,3.552713678800501e-15,3002129.3090000004
earth,24.0,3.552713678800501e-15,1796379.5219
inspector,23.87031194894294,2.8522518958114147,61437822.6942
collector,23.774425350032637,2.89832113079742,13443958.0983
roofer,23.000000000000004,3.552713678800501e-15,12254525.389
assembler,23.0,0.0,85352910.096
nonfarm,23.0,0.0,9243883.604
packers,23.0,0.0,34127594.504
painters,23.0,0.0,35535225.1317
data,23.0,0.0,26273906.5124
molders,23.0,0.0,2730908.0679
fitter,23.0,3.552713678800501e-15,711641.5363
tire,23.0,3.552713678800501e-15,371015.06490000006
woodworker,23.0,3.552713678800501e-15,1635187.4857
assistant,22.696567924702197,4.996505207297647,312102818.9632
librarian,22.0,3.552713678800501e-15,11810021.8753
word,22.0,3.552713678800501e-15,34183530.80590001
postmasters,21.000000000000004,3.552713678800501e-15,26273162.7393
worker,20.92562345218129,8.592467650613438,870673584.3757
helper,20.63476146823221,1.2253008949414528,6735330.9767
cleaners,20.0,0.0,18841250.6556
laborer,20.0,0.0,211767237.3995
nutritionist,20.0,0.0,5149664.8969
machine,20.0,0.0,2919524.3221
guard,20.0,0.0,51047934.9292
fence,20.0,0.0,936575.4885
nurse,19.08424887200141,3.93540454026749,154715206.58200002
hairdresser,19.000000000000004,3.552713678800501e-15,42908488.9575
janitor,19.0,0.0,131214000.6495
barber,19.0,0.0,6743940.7546
porter,18.0,0.0,3099623.0964
cashier,17.999999999999996,3.552713678800501e-15,165497042.213
